date,discharge,rainfall_mm,soi_index,discharge_lag_1,rainfall_lag_1,discharge_lag_2,rainfall_lag_2,discharge_lag_3,rainfall_lag_3,discharge_lag_4,rainfall_lag_4,discharge_lag_5,rainfall_lag_5,discharge_lag_6,rainfall_lag_6,discharge_lag_7,rainfall_lag_7,rainfall_ma_7,rainfall_ma_30,month,target_discharge_t+7
1/30/1981,9.141,0.020569752,0.27,9.65,0.034405008,9.65,0.112506423,9.65,0.62884105,12.537,0.768458751,10.782,0.00029193,10.782,0,10.782,0.199501031,0.223581845,0.105055263,1,7.132
1/31/1981,9.141,0.181386794,0.27,9.141,0.020569752,9.65,0.034405008,9.65,0.112506423,9.65,0.62884105,12.537,0.768458751,10.782,0.00029193,10.782,0,0.249494244,0.110281676,1,6.679
2/1/1981,8.603,0.022156199,-0.47,9.141,0.181386794,9.141,0.020569752,9.65,0.034405008,9.65,0.112506423,9.65,0.62884105,12.537,0.768458751,10.782,0.00029193,0.252617711,0.111019996,2,6.679
2/2/1981,8.603,0.376818414,-0.47,8.603,0.022156199,9.141,0.181386794,9.141,0.020569752,9.65,0.034405008,9.65,0.112506423,9.65,0.62884105,12.537,0.768458751,0.196669091,0.12358061,2,6.679
2/3/1981,8.094,0.329631138,-0.47,8.603,0.376818414,8.603,0.022156199,9.141,0.181386794,9.141,0.020569752,9.65,0.034405008,9.65,0.112506423,9.65,0.62884105,0.153924818,0.123117309,2,6.679
2/4/1981,7.584,0.251947269,-0.47,8.094,0.329631138,8.603,0.376818414,8.603,0.022156199,9.141,0.181386794,9.141,0.020569752,9.65,0.034405008,9.65,0.112506423,0.173844939,0.131444564,2,6.226
2/5/1981,7.584,0.090794542,-0.47,7.584,0.251947269,8.094,0.329631138,8.603,0.376818414,8.603,0.022156199,9.141,0.181386794,9.141,0.020569752,9.65,0.034405008,0.181900587,0.134428145,2,6.226
2/6/1981,7.132,0.062998948,-0.47,7.584,0.090794542,7.584,0.251947269,8.094,0.329631138,8.603,0.376818414,8.603,0.022156199,9.141,0.181386794,9.141,0.020569752,0.187961901,0.136523099,2,6.226
2/7/1981,6.679,0.112169473,-0.47,7.132,0.062998948,7.584,0.090794542,7.584,0.251947269,8.094,0.329631138,8.603,0.376818414,8.603,0.022156199,9.141,0.181386794,0.178073712,0.134388226,2,5.773
2/8/1981,6.679,0.304767361,-0.47,6.679,0.112169473,7.132,0.062998948,7.584,0.090794542,7.584,0.251947269,8.094,0.329631138,8.603,0.376818414,8.603,0.022156199,0.218446735,0.144436138,2,5.773
2/9/1981,6.679,0.080594981,-0.47,6.679,0.304767361,6.679,0.112169473,7.132,0.062998948,7.584,0.090794542,7.584,0.251947269,8.094,0.329631138,8.603,0.376818414,0.176129102,0.145564681,2,5.773
2/10/1981,6.679,0.259198308,-0.47,6.679,0.080594981,6.679,0.304767361,6.679,0.112169473,7.132,0.062998948,7.584,0.090794542,7.584,0.251947269,8.094,0.329631138,0.166067269,0.152403917,2,5.773
2/11/1981,6.226,0.476995531,-0.47,6.679,0.259198308,6.679,0.080594981,6.679,0.304767361,6.679,0.112169473,7.132,0.062998948,7.584,0.090794542,7.584,0.251947269,0.19821702,0.1676336,2,5.377
2/12/1981,6.226,0.148955928,-0.47,6.226,0.476995531,6.679,0.259198308,6.679,0.080594981,6.679,0.304767361,6.679,0.112169473,7.132,0.062998948,7.584,0.090794542,0.20652579,0.169212566,2,5.377
2/13/1981,6.226,0.615984734,-0.47,6.226,0.148955928,6.226,0.476995531,6.679,0.259198308,6.679,0.080594981,6.679,0.304767361,6.679,0.112169473,7.132,0.062998948,0.285523759,0.184648868,2,5.377
2/14/1981,5.773,0.138276277,-0.47,6.226,0.615984734,6.226,0.148955928,6.226,0.476995531,6.679,0.259198308,6.679,0.080594981,6.679,0.304767361,6.679,0.112169473,0.289253303,0.184329744,2,4.952
2/15/1981,5.773,1.201147061,-0.47,5.773,0.138276277,6.226,0.615984734,6.226,0.148955928,6.226,0.476995531,6.679,0.259198308,6.679,0.080594981,6.679,0.304767361,0.417307546,0.223573206,2,4.952
2/16/1981,5.773,0.586545659,-0.47,5.773,1.201147061,5.773,0.138276277,6.226,0.615984734,6.226,0.148955928,6.226,0.476995531,6.679,0.259198308,6.679,0.080594981,0.489586214,0.241291081,2,4.952
2/17/1981,5.773,0.304364817,-0.47,5.773,0.586545659,5.773,1.201147061,5.773,0.138276277,6.226,0.615984734,6.226,0.148955928,6.226,0.476995531,6.679,0.259198308,0.496038572,0.249890895,2,4.952
2/18/1981,5.377,0.568402651,-0.47,5.773,0.304364817,5.773,0.586545659,5.773,1.201147061,5.773,0.138276277,6.226,0.615984734,6.226,0.148955928,6.226,0.476995531,0.509096732,0.267505023,2,4.952
2/19/1981,5.377,1.22316529,-0.47,5.377,0.568402651,5.773,0.304364817,5.773,0.586545659,5.773,1.201147061,5.773,0.138276277,6.226,0.615984734,6.226,0.148955928,0.662555213,0.308270702,2,4.952
2/20/1981,5.377,3.952577151,-0.47,5.377,1.22316529,5.377,0.568402651,5.773,0.304364817,5.773,0.586545659,5.773,1.201147061,5.773,0.138276277,6.226,0.615984734,1.139211272,0.438958931,2,4.556
2/21/1981,4.952,0.600014729,-0.47,5.377,3.952577151,5.377,1.22316529,5.377,0.568402651,5.773,0.304364817,5.773,0.586545659,5.773,1.201147061,5.773,0.138276277,1.205173908,0.455115573,2,4.556
2/22/1981,4.952,1.480444428,-0.47,4.952,0.600014729,5.377,3.952577151,5.377,1.22316529,5.377,0.568402651,5.773,0.304364817,5.773,0.586545659,5.773,1.201147061,1.245073532,0.497813687,2,-999
2/23/1981,4.952,0.644451301,-0.47,4.952,1.480444428,4.952,0.600014729,5.377,3.952577151,5.377,1.22316529,5.377,0.568402651,5.773,0.304364817,5.773,0.586545659,1.253345767,0.519295397,2,-999
2/24/1981,4.952,0.760229386,-0.47,4.952,0.644451301,4.952,1.480444428,4.952,0.600014729,5.377,3.952577151,5.377,1.22316529,5.377,0.568402651,5.773,0.304364817,1.318469277,0.544626645,2,-999
2/25/1981,4.952,0.229611664,-0.47,4.952,0.760229386,4.952,0.644451301,4.952,1.480444428,4.952,0.600014729,5.377,3.952577151,5.377,1.22316529,5.377,0.568402651,1.270070564,0.526665076,2,-999
2/26/1981,4.952,0.158599653,-0.47,4.952,0.229611664,4.952,0.760229386,4.952,0.644451301,4.952,1.480444428,4.952,0.600014729,5.377,3.952577151,5.377,1.22316529,1.117989759,0.510990362,2,-999
2/27/1981,4.556,0.556502736,-0.47,4.952,0.158599653,4.952,0.229611664,4.952,0.760229386,4.952,0.644451301,4.952,1.480444428,4.952,0.600014729,5.377,3.952577151,0.632836271,0.525790239,2,-999
2/28/1981,4.556,0.301271146,-0.47,4.556,0.556502736,4.952,0.158599653,4.952,0.229611664,4.952,0.760229386,4.952,0.644451301,4.952,1.480444428,4.952,0.600014729,0.590158616,0.534685777,2,-999
